DATE,HOUR,KW
2019-01-01,0,13132.399488
2019-01-01,1,12947.045137
2019-01-01,2,12909.331215
2019-01-01,3,12956.730751
2019-01-01,4,13184.041565
2019-01-01,5,13601.422880000002
2019-01-01,6,14211.127494
2019-01-01,7,14841.154666
2019-01-01,8,15442.77646
2019-01-01,9,15924.279973
2019-01-01,10,16048.780416
2019-01-01,11,15895.266137
2019-01-01,12,15533.2022
2019-01-01,13,15010.515917
2019-01-01,14,14522.516496
2019-01-01,15,14324.478613999998
2019-01-01,16,14435.205613
2019-01-01,17,15139.37564
2019-01-01,18,15684.739188
2019-01-01,19,15665.44987
2019-01-01,20,15565.440578
2019-01-01,21,15234.019077
2019-01-01,22,14694.650978
2019-01-01,23,14091.495751
