DATE,HOUR,KW
2014-01-01,0,12298.80114698793
2014-01-01,1,12297.10982335456
2014-01-01,2,12285.295246664122
2014-01-01,3,12368.070072870578
2014-01-01,4,12639.0173590162
2014-01-01,5,13055.191392790042
2014-01-01,6,13420.289659690465
2014-01-01,7,13555.692953412225
2014-01-01,8,13328.329038504073
2014-01-01,9,12978.980244890136
2014-01-01,10,12468.363674516884
2014-01-01,11,11898.969818575852
2014-01-01,12,11264.466691803253
2014-01-01,13,10641.280582361258
2014-01-01,14,10125.714603108823
2014-01-01,15,9863.592938547285
2014-01-01,16,9808.271552105096
2014-01-01,17,10437.223711004524
2014-01-01,18,11286.314392662402
2014-01-01,19,11324.805071185452
2014-01-01,20,11308.21764073071
2014-01-01,21,11354.608637368729
2014-01-01,22,11340.106202741108
2014-01-01,23,11351.3879
2014-01-02,0,11578.607373152328
2014-01-02,1,12000.521019052392
2014-01-02,2,12537.301000676527
2014-01-02,3,13246.96310092456
2014-01-02,4,14106.503540171503
2014-01-02,5,15433.264380043223
2014-01-02,6,16846.531566756537
2014-01-02,7,17739.32293601586
2014-01-02,8,17704.379528906677
2014-01-02,9,17423.01055003551
2014-01-02,10,16972.65126797892
2014-01-02,11,16336.022740740023
2014-01-02,12,15591.439366765971
2014-01-02,13,14791.891033978458
2014-01-02,14,14133.235602706956
2014-01-02,15,13753.203690297249
2014-01-02,16,13869.800575095793
2014-01-02,17,14952.24282939392
2014-01-02,18,16278.568063393544
2014-01-02,19,16524.13234618723
2014-01-02,20,16585.13246902095
2014-01-02,21,16360.930937218982
2014-01-02,22,15787.72630406183
2014-01-02,23,15201.128599999996
2014-01-03,0,14809.309590276196
2014-01-03,1,14663.466065597668
2014-01-03,2,14689.660836226818
2014-01-03,3,14895.373290367765
2014-01-03,4,15343.803231240548
2014-01-03,5,16269.416330864678
2014-01-03,6,17342.438627894444
2014-01-03,7,17885.31037169995
2014-01-03,8,17468.377485575067
2014-01-03,9,16661.697024786346
2014-01-03,10,15969.076181783455
2014-01-03,11,15123.431661221
2014-01-03,12,14305.149610644225
2014-01-03,13,13614.022559133617
2014-01-03,14,13035.71563840892
2014-01-03,15,12697.420010522848
2014-01-03,16,12764.541157585203
2014-01-03,17,13705.24939782735
2014-01-03,18,14708.980515425628
2014-01-03,19,14752.176214943638
2014-01-03,20,14726.981331812964
2014-01-03,21,14426.139568078795
2014-01-03,22,13895.161471516229
2014-01-03,23,13267.9398
2014-01-04,0,12751.14982860624
2014-01-04,1,12403.596889170733
2014-01-04,2,12266.947107913693
2014-01-04,3,12236.522123080193
2014-01-04,4,12380.140470250182
2014-01-04,5,12745.77678117422
2014-01-04,6,13302.56581613382
2014-01-04,7,13665.14948313761
2014-01-04,8,13778.840742937473
2014-01-04,9,13561.118899742029
2014-01-04,10,13041.31173523196
2014-01-04,11,12321.913231926956
2014-01-04,12,11553.412914640252
2014-01-04,13,10839.49750176491
2014-01-04,14,10328.590796785562
2014-01-04,15,10051.498942365455
2014-01-04,16,10033.505150234418
2014-01-04,17,10685.553604896922
2014-01-04,18,11312.047048394475
2014-01-04,19,11232.377914734288
2014-01-04,20,11030.187762684582
2014-01-04,21,10766.186519132803
2014-01-04,22,10327.207070546125
2014-01-04,23,9793.3462
2014-01-05,0,9463.837658186936
2014-01-05,1,9509.89444072406
2014-01-05,2,9890.045880180409
2014-01-05,3,10553.046532318298
2014-01-05,4,11312.717502291058
2014-01-05,5,12228.049171171497
2014-01-05,6,13277.066487938784
2014-01-05,7,14295.847545051154
2014-01-05,8,15220.740417578088
2014-01-05,9,15681.307093531716
2014-01-05,10,15624.103948962658
2014-01-05,11,15325.212732657432
2014-01-05,12,14992.651832900285
2014-01-05,13,14584.975142678522
2014-01-05,14,14207.09091189363
2014-01-05,15,14040.078774832104
2014-01-05,16,14393.935600471612
2014-01-05,17,15885.826258470886
2014-01-05,18,17269.493189675348
2014-01-05,19,17773.331022218783
2014-01-05,20,17959.290997301578
2014-01-05,21,17895.72238318674
2014-01-05,22,17442.80137806935
2014-01-05,23,16977.2752
2014-01-06,0,16888.29571734826
2014-01-06,1,17091.283903532774
2014-01-06,2,17374.88734123135
2014-01-06,3,17769.096322651694
2014-01-06,4,18327.872578512764
2014-01-06,5,19451.780399645377
2014-01-06,6,20963.017285815327
2014-01-06,7,21215.03652431376
2014-01-06,8,20819.096623854017
2014-01-06,9,20374.350883368465
2014-01-06,10,19846.22642197648
2014-01-06,11,19186.918166412688
2014-01-06,12,18460.69641002786
2014-01-06,13,17680.581187093892
2014-01-06,14,16978.412914958117
2014-01-06,15,16559.570299152172
2014-01-06,16,16750.634541945125
2014-01-06,17,17996.64804710266
2014-01-06,18,19320.883467877367
2014-01-06,19,19578.190872897925
2014-01-06,20,19574.92551948765
2014-01-06,21,19143.156511997768
2014-01-06,22,18243.564512408168
2014-01-06,23,17487.5448
2014-01-07,0,17061.90227522909
2014-01-07,1,16897.747262406952
2014-01-07,2,16852.393835723604
2014-01-07,3,17022.668414432243
2014-01-07,4,17488.881350552252
2014-01-07,5,18533.42838558439
2014-01-07,6,19994.582863926207
2014-01-07,7,20352.558538473048
2014-01-07,8,19321.23293084328
2014-01-07,9,18229.824381384504
2014-01-07,10,17255.796084574704
2014-01-07,11,16264.10518524442
2014-01-07,12,15372.77112209366
2014-01-07,13,14665.286940239432
2014-01-07,14,14044.259904186
2014-01-07,15,13802.307703762
2014-01-07,16,14070.231595907217
2014-01-07,17,15356.572032450556
2014-01-07,18,16725.46803309626
2014-01-07,19,16986.18239630526
2014-01-07,20,16968.511261776268
2014-01-07,21,16465.956663745063
2014-01-07,22,15544.65656339526
2014-01-07,23,14519.6371
2014-01-08,0,13816.14102600308
2014-01-08,1,13372.03704989058
2014-01-08,2,13148.782187737344
2014-01-08,3,13122.845994326197
2014-01-08,4,13443.64119233512
2014-01-08,5,14318.485403596069
2014-01-08,6,15736.353908363511
2014-01-08,7,16222.01177763788
2014-01-08,8,15805.182634761197
2014-01-08,9,15695.2455599999
2014-01-08,10,15728.9443790899
2014-01-08,11,15656.245274317458
2014-01-08,12,15493.996924320389
2014-01-08,13,15279.95654233041
2014-01-08,14,14973.92796308286
2014-01-08,15,14773.936810524196
2014-01-08,16,14917.583935885148
2014-01-08,17,15446.93816892194
2014-01-08,18,15694.460959791802
2014-01-08,19,15263.74485666585
2014-01-08,20,14737.974697774407
2014-01-08,21,13919.725839059764
2014-01-08,22,12789.331053497464
2014-01-08,23,11779.6189
2014-01-09,0,11135.333602744548
2014-01-09,1,10825.983156391218
2014-01-09,2,10752.549559356925
2014-01-09,3,10884.376789718
2014-01-09,4,11300.006572513392
2014-01-09,5,12306.923201013044
2014-01-09,6,13886.020169780328
2014-01-09,7,14473.208680618682
2014-01-09,8,14239.843065488089
